,d1,d2,simScore
0,DCC1838,DCC1846,0.943661972
1,DCC1838,DCC1850,0.821917808
2,DCC1838,DCC1856,0.84057971
3,DCC1838,DCC0090,0.830985915
4,DCC1838,DCC1814,0.826086957
5,DCC1838,DCC0260,0.805555556
6,DCC0029,DCC1191,0.866666667
7,DCC0029,DCC0157,0.933333333
8,DCC0035,DCC0266,0.803278689
9,DCC0036,DCC1811,0.863636364
10,DCC0036,DCC0145,0.886363636
11,DCC0038,DCC0014,0.823529412
12,DCC0039,DCC0021,0.957446809
13,DCC0039,DCC0215,0.846153846
14,DCC0042,DCC0070,0.972222222
15,DCC0042,DCC1241,0.944444444
16,DCC0042,DCC1335,0.820512821
17,DCC0042,DCC0180,0.891891892
18,DCC0058,DCC0135,0.882352941
19,DCC0058,DCC0182,0.803571429
20,DCC0061,DCC0026,0.873015873
21,DCC0061,DCC0097,0.828125
22,DCC0061,DCC1377,1.0
23,DCC0061,DCC0301,0.861538462
24,DCC0062,DCC1615,0.869565217
25,DCC0043,DCC0051,0.94
26,DCC0043,DCC1530,0.839285714
27,DCC0043,DCC1590,0.818181818
28,DCC0043,DCC1247,0.882352941
29,DCC0043,DCC0243,0.830188679
30,DCC0043,DCC0346,0.851851852
31,DCC0044,DCC1238,0.956521739
32,DCC0044,DCC0246,0.893617021
33,DCC0045,DCC1368,0.85915493
34,DCC0050,DCC1687,0.833333333
35,DCC0050,DCC1657,0.859375
36,DCC0051,DCC0112,0.842105263
37,DCC0051,DCC1590,0.87037037
38,DCC0051,DCC1247,0.865384615
39,DCC0051,DCC0243,0.884615385
40,DCC0051,DCC0346,0.905660377
41,DCC0010,DCC0193,0.814285714
42,DCC0015,DCC0119,0.980392157
43,DCC0015,DCC0197,0.942307692
44,DCC0015,DCC0226,0.857142857
45,DCC0015,DCC0137,0.923076923
46,DCC0017,DCC0249,0.813953488
47,DCC0018,DCC1231,0.928571429
48,DCC0020,DCC0024,0.879310345
49,DCC0020,DCC0318,0.981132075
50,DCC0021,DCC0215,0.811320755
51,DCC0024,DCC0318,0.862068966
52,DCC0026,DCC0097,0.861538462
53,DCC0026,DCC1377,0.873015873
54,DCC0026,DCC0301,0.811594203
55,DCC0028,DCC1209,0.857142857
56,DCC0028,DCC0324,0.895522388
57,DCC1097,DCC0426,0.864864865
58,DCC1097,DCC0252,0.96969697
59,DCC1097,DCC0340,0.861111111
60,DCC1112,DCC1116,0.869047619
61,DCC1112,DCC1135,0.87654321
62,DCC1116,DCC1135,0.808988764
63,DCC0794,DCC1381,1.0
64,DCC0836,DCC0085,0.804878049
65,DCC0836,DCC0343,0.868421053
66,DCC0885,DCC0371,0.842857143
67,DCC0887,DCC1589,0.846153846
68,DCC0887,DCC1335,0.815789474
69,DCC0887,DCC1182,0.970588235
70,DCC0908,DCC1267,0.837837838
71,DCC0908,DCC0207,0.947368421
72,DCC0426,DCC0252,0.842105263
73,DCC0426,DCC0340,0.894736842
74,DCC1845,DCC0214,0.833333333
75,DCC1846,DCC0090,0.810810811
76,DCC1850,DCC1856,0.852941176
77,DCC1850,DCC0090,0.842857143
78,DCC1852,DCC1816,0.982758621
79,DCC1854,DCC1855,0.98
80,DCC1854,DCC1861,0.830188679
81,DCC1854,DCC1256,0.979591837
82,DCC1855,DCC1861,0.814814815
83,DCC1855,DCC1256,0.96
84,DCC1856,DCC0090,0.892307692
85,DCC1856,DCC1830,0.876923077
86,DCC1856,DCC1814,0.919354839
87,DCC1856,DCC0260,0.921875
88,DCC1856,DCC0300,0.80952381
89,DCC1857,DCC0124,0.818181818
90,DCC1857,DCC1208,0.802816901
91,DCC1858,DCC0326,0.838709677
92,DCC1861,DCC1256,0.846153846
93,DCC1861,DCC0266,0.836363636
94,DCC0094,DCC0088,0.850746269
95,DCC0094,DCC1443,0.846153846
96,DCC0094,DCC1245,0.850746269
97,DCC0094,DCC0153,0.833333333
98,DCC0094,DCC0256,0.875
99,DCC0094,DCC0288,0.823529412
