,d1,d2,simScore
162,DCC1221,DCC0187,0.928571429
163,DCC1221,DCC0268,0.928571429
164,DCC1221,DCC0143,1.0
165,DCC1377,DCC0301,0.861538462
166,DCC1238,DCC0246,0.893617021
167,DCC1321,DCC0126,0.97260274
168,DCC1329,DCC1244,0.865384615
169,DCC1335,DCC0180,0.916666667
170,DCC1393,DCC1246,0.914893617
171,DCC1393,DCC1354,0.862745098
172,DCC1393,DCC0325,0.882352941
173,DCC1393,DCC0220,0.86
174,DCC1246,DCC1354,0.86
175,DCC1246,DCC0325,0.88
176,DCC1247,DCC0243,0.94
177,DCC1247,DCC0346,0.886792453
178,DCC1245,DCC0334,0.878787879
179,DCC1338,DCC0256,0.857142857
180,DCC1338,DCC0288,0.920634921
181,DCC1338,DCC0360,0.859375
182,DCC1183,DCC0158,0.883333333
183,DCC1183,DCC0162,0.876923077
184,DCC1249,DCC0348,0.867647059
185,DCC1249,DCC0218,0.907692308
186,DCC1249,DCC0223,0.907692308
187,DCC1347,DCC0339,0.909090909
188,DCC1354,DCC0184,0.918367347
189,DCC1354,DCC0156,0.918367347
190,DCC1354,DCC0216,0.918367347
191,DCC1354,DCC0325,0.98
192,DCC1354,DCC0149,0.98
193,DCC0153,DCC0288,0.921875
194,DCC0184,DCC0156,1.0
195,DCC0184,DCC0216,1.0
196,DCC0184,DCC0325,0.9
197,DCC0184,DCC0149,0.9
198,DCC0156,DCC0216,1.0
199,DCC0156,DCC0325,0.9
200,DCC0156,DCC0149,0.9
201,DCC0187,DCC0268,0.964912281
202,DCC0187,DCC0143,0.928571429
203,DCC0249,DCC0326,0.885714286
204,DCC0216,DCC0325,0.9
205,DCC0216,DCC0149,0.9
206,DCC0252,DCC0340,0.888888889
207,DCC0253,DCC0279,0.901408451
208,DCC0243,DCC0346,0.905660377
209,DCC0256,DCC0334,0.875
210,DCC0262,DCC0195,0.882352941
211,DCC0268,DCC0143,0.928571429
212,DCC0279,DCC0304,0.85915493
213,DCC0289,DCC0310,0.911764706
214,DCC0285,DCC0353,0.872727273
215,DCC0348,DCC0218,0.921875
216,DCC0348,DCC0223,0.952380952
217,DCC0321,DCC0140,0.854545455
218,DCC0323,DCC0329,0.947368421
219,DCC0354,DCC0298,0.878787879
220,DCC0354,DCC0210,0.878787879
221,DCC0360,DCC0228,0.888888889
222,DCC0325,DCC0149,0.960784314
223,DCC0298,DCC0210,0.941176471
224,DCC0309,DCC0172,0.97826087
225,DCC0312,DCC0177,0.945454545
226,DCC0159,DCC0170,1.0
227,DCC0218,DCC0223,0.967213115
228,DCC0193,DCC0200,0.965517241
229,DCC0197,DCC0137,0.87037037
230,DCC0226,DCC0137,0.857142857
231,DCC0225,DCC0179,0.9375
